,,P(i),sum over all n(ij),Total Responses,Organism,Environment,Quality,Mat & Subst,Method,Data Type,Process,Anatomy,Location,Time,Event,Person & Org,Human Inter,Other,None,other category,comment
,autotrophic,0.4,12,6,0,1,4,0,0,0,1,0,0,0,0,0,0,0,0,,
,carbon cycling,1.0,30,6,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,,
,groundwater aquifer,1.0,30,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,aquifer,0.6666666666666666,20,6,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,,
conduceInfluences,conduce influences,0.13333333333333333,4,6,0,1,0,0,0,0,2,0,0,0,0,0,0,2,1,?,
,soil,0.6666666666666666,20,6,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,,
,aquifer,1.0,30,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,,
oxygen,oxygen concentration,0.26666666666666666,8,6,0,1,3,2,0,0,0,0,0,0,0,0,0,0,0,,oxygen concentration -> quality of environment? mesopelagic zone & 200-1000m (depth) could also be locations
,oxygen,1.0,30,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,,
,sea water,0.4,12,6,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,,
,mesopelagic zone,0.4666666666666667,14,6,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,,
,global ocean,0.4,12,6,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,,
,200-1000m (depth),0.2,6,6,0,1,1,0,0,0,0,0,3,0,0,0,0,1,0,quantität,
karstStructure,karst structure of the aquifer,0.06666666666666667,2,6,0,1,1,2,0,1,0,0,0,0,0,0,0,1,0,,karst structure (of the aquifer) -> quality of environment?
,karst structure,0.06666666666666667,2,6,0,1,1,2,0,1,0,0,0,0,0,0,0,1,0,,
,aquifer,1.0,30,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,tectonics,0.4,12,6,0,0,0,0,0,1,4,0,0,0,0,0,0,0,1,,
,climate,0.13333333333333333,4,6,0,2,0,0,0,1,2,0,0,0,0,0,0,0,1,,
distributionStroks,distribution of stroks,0.26666666666666666,8,6,0,0,3,0,0,2,0,0,0,0,0,0,0,1,0,,I do not know stroks. Might be an organism.
,stroks,0.6666666666666666,20,6,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,
,Europe,1.0,30,6,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,,
coralBleaching,ocean acidification,1.0,30,6,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,,
,coral bleaching,1.0,30,6,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,,
surfaceSignals,surface signals,0.06666666666666667,2,6,0,1,1,0,0,2,0,0,0,0,0,0,0,1,1,,
plantagoLanc,Plantago lanceolata,1.0,30,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
somSoils,autotrophic organisms,1.0,30,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,autotrophic,0.2,6,6,0,0,3,0,0,0,1,1,0,0,0,0,0,1,0,,
,SOM,0.6666666666666666,20,6,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,,
,soils,0.4,12,6,0,4,0,1,0,0,0,0,1,0,0,0,0,0,0,,
palustrisMaritima,Triglochin palustris,1.0,30,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,Triglochin maritima,1.0,30,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
butterflyOak,butterflies,1.0,30,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,oaks might be the environment in this case
,oaks,0.6666666666666666,20,6,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,
waterCycle,N cycle,1.0,30,6,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,,Throughfall & Stemflow could also belong to the environment natural deciduous forest could also be environment or location
,water,0.4,12,6,0,4,0,1,0,0,1,0,0,0,0,0,0,0,0,,
,Throughfall,0.26666666666666666,8,6,0,2,0,0,0,0,3,0,0,0,0,0,0,1,0,Parameters,
,Stemflow,0.26666666666666666,8,6,0,2,0,0,0,0,3,0,0,0,0,0,0,1,0,Parameters,
,Groundwater,0.2,6,6,0,3,0,1,0,0,1,0,0,0,0,0,0,1,0,Parameters,
,natural deciduous forest,0.4,12,6,1,4,0,0,0,0,0,0,0,0,0,0,0,0,1,,
,deciduous,0.4,12,6,1,0,4,0,0,0,0,0,0,0,0,0,0,1,0,characteristic of the environment,
waspsOvipositor,ovipositor of wood wasps,0.2,6,6,1,0,0,0,0,0,0,3,0,0,0,0,0,1,1,?,
,wood wasps,1.0,30,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,photographs,1.0,30,6,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,,
,detailed drawings,1.0,30,6,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,,
mesopelagicFish,mesopelagic fish,1.0,30,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,mesopelagic,0.06666666666666667,2,6,0,1,2,0,0,0,1,1,0,0,0,0,0,0,1,,
,genus Cyclothone,1.0,30,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
bioPolymers,immediate response of microbiome,0.26666666666666666,8,6,0,0,2,0,0,0,3,0,0,0,1,0,0,0,0,,
,microbiome,0.26666666666666666,8,6,3,2,0,0,0,0,0,0,0,0,0,0,0,1,0,?,
,supplemented biopolymers,0.26666666666666666,8,6,2,0,0,3,0,0,0,0,0,0,0,0,1,0,0,,
nutrientData,nutrients,1.0,30,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,,
,soil,0.6666666666666666,20,6,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,,
mineralComp,Mineral-composition,0.6666666666666666,20,6,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,,Mineral-composition -> quality of environment? I do not know parlochs. Might be a place or environment. mineralogy of the parlochs -> quality of environment?
,mobile colloids,0.2,6,6,1,1,0,3,0,0,0,0,0,0,0,0,0,0,1,,
,groundwater,1.0,30,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,mineralogy of the parlochs,0.26666666666666666,8,6,0,0,2,1,0,0,0,0,0,0,0,0,0,0,3,,
,parlochs,0.13333333333333333,4,6,1,0,0,0,0,0,0,0,1,0,0,0,0,2,2,?,
biodiversityCha,biodiversity,0.26666666666666666,8,6,0,0,3,0,0,0,0,0,0,0,0,0,0,2,1,domain::Ecosystem service,
,time,0.6666666666666666,20,6,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,quantity,
vegetationAmount,city districts,0.4666666666666667,14,6,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,,city districts could also be environment amount of vegetation -> quality of environment?
,amount of vegetation,0.06666666666666667,2,6,1,1,0,0,0,1,0,0,0,0,0,0,0,1,2,,
,vegetation,0.4,12,6,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,,
,biodiversity,0.13333333333333333,4,6,0,1,2,0,0,0,0,0,0,0,0,0,0,2,1,Ecosystem service,
aphidoidea,Aphidoidea,1.0,30,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
dataFB,foraminifera,0.4,12,6,4,0,0,0,0,0,0,1,0,0,0,0,0,0,1,,
aquiferSurfaces,microbes,1.0,30,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,aquifer surfaces,1.0,30,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,,
geology,geology,0.4,12,6,0,4,0,1,0,0,0,0,0,0,0,0,0,1,0,domain,geology & soil geochemistry -> quality of environment? I am not quite sure about bacterial & archaea as it is not bacteria and archaea.
,soil geochemistry,0.4,12,6,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,,
,soil,0.4666666666666667,14,6,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,,
,bacterial and archaeal nitrogen-cycling communities,0.6666666666666666,20,6,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,biodiv. var.,
,bacterial,1.0,30,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,archaeal,0.6666666666666666,20,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,
,nitrogen-cycling,1.0,30,6,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,,
plantResidalCom,aquifer microbiomes,0.26666666666666666,8,6,3,2,0,0,0,0,0,0,0,0,0,0,0,1,0,biod. var.,aquifer microbiomes could be organism in this case; and plant environment do you mean 'residual'?
,aquifer,1.0,30,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,plant residal compounds,0.13333333333333333,4,6,0,2,0,2,0,0,0,1,0,0,0,0,0,0,1,,
,plant residal,0.13333333333333333,4,6,0,1,0,2,0,0,0,0,0,0,0,0,0,2,1,?,
,plant,0.6666666666666666,20,6,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,
paternalKin,species X,1.0,30,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,paternal kin,0.13333333333333333,4,6,1,0,0,0,0,0,2,0,0,0,0,0,0,2,1,?,
neonicotinoidPol,neonicotinoids,1.0,30,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,,
,pollinators,1.0,30,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
co2Groundwater,CO2 fixation,1.0,30,6,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,,
,CO2,1.0,30,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,,
,groundwater,1.0,30,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,,
uptakeRates,benthic oxygen uptake rate,0.13333333333333333,4,6,0,1,2,0,0,0,1,0,0,0,0,0,0,2,0,var.::Parameter,(benthic) (oxygen uptake rate) -> quality of environment?; or maybe Parameter? could also fit to (some of) the others I put in this category (A Parameter might be something that is measured by a method; input element.)
,benthic,0.26666666666666666,8,6,2,3,0,0,0,0,0,0,0,0,0,0,0,0,1,?,
,oxygen uptake rate,0.2,6,6,0,1,3,0,0,0,0,0,0,0,0,0,0,1,1,var.::Parameter,
,oxygen,1.0,30,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,,
,Atlantic,0.4666666666666667,14,6,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,,
workingArea,catchment area,0.26666666666666666,8,6,0,2,0,0,0,0,0,0,3,0,0,0,0,1,0,,
,source area,0.26666666666666666,8,6,0,2,0,0,0,0,0,0,3,0,0,0,0,1,0,,
,infiltration area,0.26666666666666666,8,6,0,2,0,0,0,0,0,0,3,0,0,0,0,1,0,,
,rain water,0.6666666666666666,20,6,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,,
,working area,0.4,12,6,0,1,0,0,0,0,0,0,4,0,0,0,0,0,1,,
fungalCommunity,surface fungal communities,0.6666666666666666,20,6,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,
,surface,0.4,12,6,0,4,0,0,0,0,0,0,1,0,0,0,0,1,0,,
,subsurface fungal communitie,0.6666666666666666,20,6,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,
,subsurface,0.4,12,6,0,4,0,0,0,0,0,0,1,0,0,0,0,1,0,,
InfluenceMicro,microorganism,1.0,30,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,CO2 isotopes,1.0,30,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,,
,CO2,1.0,30,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,,
vascularPlants,forest-specific diversity of vascular plants,0.13333333333333333,4,6,1,0,2,0,0,0,0,0,0,0,0,0,0,1,2,Ecosystem service,I am not quite sure about forest specific. I have the feeling; your categories match better with nouns (except for quality and human intervention). But this might be a problem with my thinking patterns.
,forest-specific,0.26666666666666666,8,6,0,2,3,0,0,0,0,0,1,0,0,0,0,0,0,,
,vascular plants,1.0,30,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,vascular,0.4,12,6,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,,
pollinators,abundance of pollinators,0.2,6,6,0,0,2,0,0,2,0,0,0,0,0,0,0,2,0,biodiv. var.::biodiversity index,
,bees,1.0,30,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
seasonalDi,seasonal differences of nitrogen dry and wet deposition,0.06666666666666667,2,6,0,0,2,0,0,1,1,0,0,0,0,0,0,1,1,term,seasonal differences of nitrogen dry and wet deposition -> quality of environment?
,seasonal differences,0.06666666666666667,2,6,0,0,2,0,1,0,1,0,0,0,0,0,0,1,1,term,
,nitrogen dry deposition,0.4,12,6,0,0,1,0,0,0,4,0,0,0,0,0,0,1,0,Parameter,
,nitrogen wet deposition,0.4,12,6,0,0,1,0,0,0,4,0,0,0,0,0,0,1,0,Parameter,
,nitrogen,1.0,30,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,,
,template forest,0.6666666666666666,20,6,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,,
socialSystem,social system,0.13333333333333333,4,6,0,1,0,0,0,0,0,1,0,0,0,0,0,2,2,biod. var. / term,
,species X,1.0,30,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
invasiveGrasses,invasive grasses,1.0,30,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,invasive,0.6666666666666666,20,6,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,,
,Poaceae,1.0,30,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
domComposition,parameters,0.13333333333333333,4,6,0,0,1,0,0,2,0,0,0,0,0,0,0,2,1,parameter? (input for measurement / method)::var,DOM composition -> quality of environment?
,DOM composition,0.13333333333333333,4,6,0,1,0,2,0,0,1,0,0,0,0,0,0,2,0,biod. var.,
millipedes,population abundance of millipeds,0.26666666666666666,8,6,0,1,3,0,0,0,0,0,0,0,0,0,0,2,0,biodiv. var.::Eocosystem service,
,population,0.06666666666666667,2,6,1,0,0,0,1,2,0,0,0,0,0,0,0,1,1,biodiv. var.,
,millipedes,0.6666666666666666,20,6,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,?,
orgInorg,water,0.6666666666666666,20,6,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,,
,dissolved organic and inorganic,1.0,30,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,,
,year,1.0,30,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,,
calcareousGrass,butterfly species,1.0,30,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,calcareous -> quality of environment?
,calcareous grassland,0.6666666666666666,20,6,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,,
,calcareous,0.4,12,6,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,,
structure,vegetation structural diversity,0.2,6,6,0,1,1,0,0,0,0,0,0,0,0,0,0,3,1,biod. var.::Ecosystem service / Biodiversity::biodiversity index,vegetation structural diversity & subsurface structural properties -> quality of environment?
,vegetation,0.4,12,6,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,,
,subsurface structural properties,0.13333333333333333,4,6,0,1,2,0,0,1,0,0,0,0,0,0,0,2,0,Parameter::environmental property,
,subsurface,0.4,12,6,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,,
secondaryMinerals,secondary minerals,0.6666666666666666,20,6,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,,all; except for secondary minarals -> quality of environment?
,pores,0.06666666666666667,2,6,0,1,1,1,0,0,0,0,2,0,0,0,0,0,1,,
,fractures,0.06666666666666667,2,6,0,1,1,1,0,0,0,0,2,0,0,0,0,0,1,,
,groundwater chemistry,0.06666666666666667,2,6,0,1,1,0,0,0,1,0,0,0,0,0,0,2,1,domain::Ecosystem parameter,
,chemistry,0.06666666666666667,2,6,0,1,1,0,0,0,1,0,0,0,0,0,0,2,1,domain::Ecosystem parameter,
specififcInputs,molecules,0.4,12,6,1,0,0,4,0,0,0,0,0,0,0,0,0,1,0,chemical element or compound,physico-chemical compositions of the groundwater -> quality of environment?
,surface,0.4,12,6,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,,
,nitrogen,1.0,30,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,,
,physico-chemical compositions of the groundwater,0.26666666666666666,8,6,0,1,0,2,0,0,0,0,0,0,0,0,0,3,0,Parameter,
,groundwater,0.6666666666666666,20,6,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,,
downstreamCom,connections,0.2,6,6,0,1,1,0,0,0,3,0,0,0,0,0,0,1,0,?,connections -> quality of environment? I do not know where to put soil born.
,soil born mobile (organic) matters,0.13333333333333333,4,6,2,0,1,2,0,0,0,0,0,0,0,0,0,1,0,?,
,soil born,0.2,6,6,0,0,3,0,0,0,1,0,0,0,0,0,0,1,1,,
,soil,0.6666666666666666,20,6,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,,
,downstream compartments (aquifer),0.4,12,6,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,,
microbialGuilds,patterns,0.06666666666666667,2,6,0,0,1,0,1,1,0,0,0,0,0,0,0,2,1,,patterns -> parameter?
,trace gas release,1.0,30,6,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,,
,trace gas,1.0,30,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,,
,activity of microbial guilds,0.4,12,6,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,,
,microbial guilds,1.0,30,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
distributionHolo,distribution of Holothuroidea,0.2,6,6,0,0,1,0,0,3,1,0,0,0,0,0,0,1,0,Ecosystem Parameters,
,Holothuroidea,1.0,30,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,Atlantic Ocean,0.4666666666666667,14,6,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,,
grassCut,grass cut events,0.4666666666666667,14,6,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,Management,
,grass cut,0.4,12,6,0,1,0,0,0,0,0,0,0,0,1,0,4,0,0,Management,
,grass,1.0,30,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,soils,0.6666666666666666,20,6,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,,
,water,0.4,12,6,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,,
subsurfaceSoils,chemolithoautotrophy,0.26666666666666666,8,6,0,0,2,0,0,0,3,0,0,0,0,0,0,0,1,,
,heterotrophy,0.26666666666666666,8,6,0,0,2,1,0,0,3,0,0,0,0,0,0,0,0,,
,subsurface soils,0.4,12,6,0,4,0,1,0,0,0,0,1,0,0,0,0,0,0,,
,subsurface,0.4,12,6,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,,
globalOccurrence,Triglochin palustris (Sumpf-Dreizack),1.0,30,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,tropical areas could also be environment
,Triglochin maritima (Strand Dreizack),1.0,30,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,Brandenburg,1.0,30,6,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,,
,Germany,1.0,30,6,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,,
,middle Europe,1.0,30,6,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,,
,Europe,1.0,30,6,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,,
,tropical areas,0.4,12,6,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,,
,South America,1.0,30,6,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,,
c_n_isotopes,patterns in C-/N-isotopes of CH4; N2O; CO2 (GHG's),0.2,6,6,0,0,3,0,0,1,0,0,0,0,0,0,0,1,1,,patterns in C-/N-isotopes of CH4; N2O; CO2 (GHG's) -> quality of environment?; parameter?
,C-/N-isotopes of CH4; N2O; CO2 (GHG's),1.0,30,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,,
,C-/N-isotopes,1.0,30,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,,
,CH4,1.0,30,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,,
,N2O,1.0,30,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,,
,CO2,1.0,30,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,,
,GHG,1.0,30,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,,
